FECHA APERTURA|MONEDA|ESTRATEGIA|PRECIO ENTRADA|VOLUMEN ($ USDT)|TOKENS COMPRADOS|DISTANCIA SL / TP|BREAKEVEN & TRAILING|FECHA/HORA CIERRE|RESULTADO & PNL
2026-06-21 01:59:11|ACT-USDT-SWAP|AUTO_ADOPTED|0.009250|$29.99|3242.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-21 02:07:53|-0.2999 USDT
2026-06-21 02:15:43|HBAR-USDT-SWAP|AUTO_ADOPTED|0.080500|$2.99|37.2|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-21 02:16:48|-1.3399 USDT
2026-06-21 02:08:37|ACT-USDT-SWAP|AUTO_ADOPTED|0.009230|$30.00|3250.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-21 02:16:48|+0.3503 USDT
2026-06-21 02:08:37|YGG-USDT-SWAP|AUTO_ADOPTED|0.027500|$300.00|10909.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-21 02:16:48|-4.6614 USDT
2026-06-21 02:08:37|XTZ-USDT-SWAP|AUTO_ADOPTED|0.237400|$299.60|1262.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-21 02:16:49|-1.5610 USDT
2026-06-21 02:08:37|SAND-USDT-SWAP|AUTO_ADOPTED|0.061200|$29.99|490.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-21 02:16:49|-3.7282 USDT
2026-06-21 02:08:37|AAVE-USDT-SWAP|AUTO_ADOPTED|75.610000|$2994.16|39.6|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-21 02:16:49|-0.9723 USDT
2026-06-21 02:08:37|THETA-USDT-SWAP|AUTO_ADOPTED|0.162700|$29.94|184.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-21 02:16:50|-1.1000 USDT
2026-06-21 02:08:37|TRX-USDT-SWAP|AUTO_ADOPTED|0.326800|$0.29|0.9|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-21 02:16:50|-0.4640 USDT
2026-06-22 05:56:35|THETA-USDT-SWAP|AUTO_ADOPTED|0.152300|$29.85|196.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-22 08:39:50|-1.2539 USDT
2026-06-22 05:56:35|ALGO-USDT-SWAP|AUTO_ADOPTED|0.090000|$29.88|332.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-22 08:39:50|+1.3141 USDT
2026-06-22 05:56:35|CHZ-USDT-SWAP|AUTO_ADOPTED|0.020800|$29.99|1442.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-22 08:39:50|-2.1345 USDT
2026-06-22 06:45:35|ETC-USDT-SWAP|AUTO_ADOPTED|7.274000|$30.00|4.124|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-22 08:39:50|-2.0167 USDT
2026-06-22 07:00:41|NOT-USDT-SWAP|AUTO_ADOPTED|0.000422|$3.00|7110.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-22 08:39:50|+1.0870 USDT
2026-06-22 07:32:59|BOME-USDT-SWAP|AUTO_ADOPTED|0.000455|$0.30|658.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-22 08:39:50|-3.9240 USDT
2026-06-22 07:32:59|FIL-USDT-SWAP|AUTO_ADOPTED|0.807600|$2999.43|3714.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-22 08:39:50|-2.3408 USDT
2026-06-22 07:45:48|ARB-USDT-SWAP|AUTO_ADOPTED|0.084872|$29.99|353.4|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-22 08:39:50|-0.2973 USDT
2026-06-22 08:15:09|XRP-USDT-SWAP|AUTO_ADOPTED|1.135700|$3.00|2.64|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-22 08:39:50|+0.6511 USDT
2026-06-22 08:40:40|NOT-USDT-SWAP|AUTO_ADOPTED|0.000423|$3.00|7098.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-22 10:19:04|-7.0752 USDT
2026-06-22 10:45:35|XTZ-USDT-SWAP|AUTO_ADOPTED|0.232400|$149.90|645.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-22 11:05:57|-1.4074 USDT
2026-06-22 08:41:19|FIL-USDT-SWAP|AUTO_ADOPTED|0.807385|$1509.81|1870.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-22 11:25:44|-16.5704 USDT
2026-06-22 09:30:30|CHZ-USDT-SWAP|AUTO_ADOPTED|0.020740|$29.99|1446.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-22 11:32:50|+0.5538 USDT
2026-06-22 08:40:40|ARB-USDT-SWAP|AUTO_ADOPTED|0.084900|$29.99|353.2|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 04:30:59|-6.8102 USDT
2026-06-22 08:40:40|ALGO-USDT-SWAP|AUTO_ADOPTED|0.089400|$29.86|334.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 04:30:59|-9.3723 USDT
2026-06-22 08:40:40|BOME-USDT-SWAP|AUTO_ADOPTED|0.000449|$0.30|668.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 04:30:59|-1.5209 USDT
2026-06-22 09:00:07|CFX-USDT-SWAP|AUTO_ADOPTED|0.048500|$29.99|618.4|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 04:30:59|-0.9815 USDT
2026-06-22 09:45:52|HBAR-USDT-SWAP|AUTO_ADOPTED|0.078833|$4.49|57.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 04:30:59|-2.0078 USDT
2026-06-22 10:00:42|AI16Z-USDT-SWAP|AUTO_ADOPTED|0.056620|$12.82|226.4|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 04:30:59|-2.3642 USDT
2026-06-23 03:19:55|BRETT-USDT-SWAP|AUTO_ADOPTED|0.005400|$29.99|5554.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 04:30:59|-5.8417 USDT
2026-06-23 03:19:55|CRO-USDT-SWAP|AUTO_ADOPTED|0.058085|$29.97|516.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 04:30:59|-0.2385 USDT
2026-06-23 03:19:55|OP-USDT-SWAP|AUTO_ADOPTED|0.100550|$149.92|1491.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 04:30:59|-1.2189 USDT
2026-06-23 03:19:55|THETA-USDT-SWAP|AUTO_ADOPTED|0.150149|$29.88|199.0|SL: 0.00% / TP: 0.00%|INACTIVO|2026-06-23 04:30:59|-0.5925 USDT
